;func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano;Label;Score
0;MASCULINO;48;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;42;1640,33;NAO;SIM;0,5718
1;FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;32;789,81;NAO;NAO;0,8781
2;FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;998,0;NAO;NAO;0,8939
3;MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 5 A 9;Serviços;44;1000,0;NAO;NAO;0,8974
4;MASCULINO;31;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1781,13;SIM;SIM;0,5941
5;FEMININO;28;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;DE 10 A 19;Serviços;20;1595,56;SIM;SIM;0,6515
6;MASCULINO;40;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Serviços;44;1575,15;NAO;SIM;0,6115
7;MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;2292,82;SIM;SIM;0,6633
8;FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Indústria;36;1081,09;NAO;NAO;0,859
9;MASCULINO;30;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Comércio;0;805,08;NAO;NAO;0,8326
10;MASCULINO;56;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 250 A 499;Indústria;33;38628,98;SIM;SIM;0,7417
11;MASCULINO;42;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;998,0;NAO;NAO;0,9008
12;MASCULINO;36;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1036,65;NAO;NAO;0,8988
13;MASCULINO;26;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1608,23;NAO;SIM;0,5648
14;MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1628,3;NAO;SIM;0,6784
15;MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1471,25;NAO;SIM;0,5759
16;MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Comércio;44;1225,17;NAO;NAO;0,892
