func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;48;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;42;1640,33;NAO
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;32;789,81;NAO
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;ATE 4;Serviços;44;998,0;NAO
MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 5 A 9;Serviços;44;1000,0;NAO
MASCULINO;31;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1781,13;SIM
FEMININO;28;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;DE 10 A 19;Serviços;20;1595,56;SIM
MASCULINO;40;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Serviços;44;1575,15;NAO
MASCULINO;28;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;2292,82;SIM
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Indústria;36;1081,09;NAO
MASCULINO;30;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 20 A 49;Comércio;0;805,08;NAO
MASCULINO;56;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 250 A 499;Indústria;33;38628,98;SIM
MASCULINO;42;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Agricultura;44;998,0;NAO
MASCULINO;36;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1036,65;NAO
MASCULINO;26;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1608,23;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;44;1628,3;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1471,25;NAO
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Comércio;44;1225,17;NAO
FEMININO;39;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 50 A 99;Comércio;44;1650,0;NAO
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Comércio;0;433,95;NAO
FEMININO;57;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;1802,5;SIM
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1010,0;NAO
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1357,69;NAO
MASCULINO;50;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 20 A 49;Construçao civil;44;1746,5;NAO
