func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Serviços;36;1777,52;SIM
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Indústria;44;996,08;NAO
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1766,9;SIM
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;983,24;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;30;1382,38;NAO
MASCULINO;64;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Indústria;44;2155,35;SIM
MASCULINO;37;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 500 A 999;Serviços;44;1311,79;NAO
MASCULINO;29;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;PE;NAO;DE 250 A 499;Serviços;40;4086,75;SIM
FEMININO;26;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1410,66;NAO
FEMININO;30;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;ATE 4;Serviços;44;1429,4;NAO
MASCULINO;38;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;1000 OU MAIS;Indústria;44;1024,98;NAO
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Indústria;44;1628,51;SIM
FEMININO;45;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 500 A 999;Serviços;36;1611,4;NAO
MASCULINO;19;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;1652,7;NAO
FEMININO;25;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;795,77;NAO
FEMININO;43;AMARELA-BRANCA;SUPERIOR_COMPLETO;MA;NAO;ATE 4;Comércio;44;1170,6;NAO
MASCULINO;58;PRETA-PARDA;SUPERIOR_COMPLETO;SE;NAO;DE 500 A 999;Indústria;33;23181,82;SIM
MASCULINO;43;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;MA;NAO;DE 500 A 999;Construçao civil;44;2064,03;NAO
FEMININO;30;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1155,06;NAO
FEMININO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Indústria;44;1472,42;SIM
FEMININO;37;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;3375,06;SIM
FEMININO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Serviços;44;1002,8;NAO
MASCULINO;36;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 10 A 19;Indústria;44;1261,45;NAO
MASCULINO;45;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;2984,53;SIM
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;2235,39;SIM
MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Agricultura;44;1164,69;NAO
FEMININO;20;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Serviços;44;1040,0;NAO
FEMININO;40;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;DE 50 A 99;Serviços;36;4840,36;SIM
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 500 A 999;Serviços;44;1969,75;SIM
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Indústria;44;830,49;NAO
MASCULINO;20;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;AL;NAO;DE 20 A 49;Serviços;44;1760,46;SIM
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;11;2799,99;NAO
FEMININO;30;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Indústria;44;1193,99;NAO
MASCULINO;55;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 100 A 249;Indústria;33;28435,16;SIM
MASCULINO;34;SEM INFO;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Serviços;44;998,0;NAO
FEMININO;20;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;973,39;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Comércio;44;1078,22;NAO
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;DE 20 A 49;Serviços;12;1211,49;NAO
MASCULINO;26;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Indústria;44;1405,36;NAO
MASCULINO;45;PRETA-PARDA;SUPERIOR_COMPLETO;PB;NAO;DE 100 A 249;Serviços;36;1463,8;NAO
MASCULINO;31;SEM INFO;SUPERIOR_COMPLETO;PI;NAO;DE 50 A 99;Comércio;44;3374,25;SIM
MASCULINO;26;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;AL;NAO;ATE 4;Serviços;44;9623,0;NAO
MASCULINO;20;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 10 A 19;Serviços;44;998,0;NAO
MASCULINO;49;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1466,4;SIM
MASCULINO;39;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1188,0;NAO
FEMININO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;9;26751,14;NAO
MASCULINO;54;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Comércio;44;2085,17;SIM
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;40;1008,53;NAO
MASCULINO;44;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1540,03;NAO
MASCULINO;23;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 100 A 249;Indústria;44;1689,0;NAO
FEMININO;21;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;970,22;NAO
MASCULINO;51;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;879,26;NAO
FEMININO;41;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 100 A 249;Comércio;44;1400,47;NAO
MASCULINO;26;AMARELA-BRANCA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;30;1485,68;SIM
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;36;1814,6;SIM
MASCULINO;34;SEM INFO;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Indústria;44;2003,97;SIM
MASCULINO;28;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Construçao civil;1;920,07;NAO
FEMININO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;ATE 4;Serviços;44;3000,0;NAO
MASCULINO;33;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Construçao civil;44;871,93;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1011,22;NAO
MASCULINO;22;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 5 A 9;Indústria;44;1242,23;NAO
FEMININO;47;AMARELA-BRANCA;MEDIO COMPLETO;SE;NAO;DE 5 A 9;Comércio;44;1766,51;SIM
MASCULINO;24;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;SIM;DE 20 A 49;Serviços;20;984,64;NAO
MASCULINO;20;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Construçao civil;44;1632,0;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;PE;SIM;DE 100 A 249;Serviços;44;1434,81;SIM
MASCULINO;30;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Indústria;44;1304,82;NAO
MASCULINO;30;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1186,81;NAO
MASCULINO;18;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;998,05;NAO
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1200,0;NAO
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;2068,4;SIM
MASCULINO;30;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;1535,79;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Comércio;44;1828,41;SIM
MASCULINO;25;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 10 A 19;Agricultura;44;1010,05;NAO
FEMININO;25;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;648,7;NAO
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Construçao civil;44;1538,3;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1748,46;SIM
FEMININO;35;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Comércio;44;2207,25;NAO
MASCULINO;57;AMARELA-BRANCA;SUPERIOR_COMPLETO;AL;NAO;ATE 4;Serviços;44;8251,63;SIM
MASCULINO;18;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;40;1189,12;NAO
FEMININO;67;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;2755,34;SIM
MASCULINO;50;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1071,0;NAO
MASCULINO;31;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;44;1726,24;SIM
FEMININO;21;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;24;927,17;NAO
MASCULINO;50;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;1059,77;NAO
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1068,6;NAO
MASCULINO;32;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 500 A 999;Indústria;44;1156,11;NAO
MASCULINO;23;INDIGENA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;36;1285,21;NAO
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;1134,55;NAO
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;1586,75;SIM
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;1840,71;SIM
FEMININO;29;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Serviços;44;1162,79;NAO
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Comércio;44;1365,35;NAO
MASCULINO;32;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 100 A 249;Serviços;44;2397,49;SIM
FEMININO;39;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;1000 OU MAIS;Serviços;40;4503,32;NAO
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;ATE 4;Serviços;44;1034,0;NAO
MASCULINO;19;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;1029,99;NAO
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1510,63;NAO
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;44;1362,09;NAO
MASCULINO;37;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Construçao civil;44;1400,0;NAO
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;1000 OU MAIS;Construçao civil;44;1779,42;NAO
FEMININO;37;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1275,0;NAO
FEMININO;46;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;2887,15;NAO
MASCULINO;58;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;2288,0;NAO
MASCULINO;54;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;42;1792,94;SIM
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;2424,9;SIM
FEMININO;40;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Comércio;44;3604,78;SIM
FEMININO;39;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 500 A 999;Serviços;36;9173,11;SIM
MASCULINO;18;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1117,49;NAO
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;2252,75;SIM
MASCULINO;32;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 20 A 49;Comércio;44;3198,75;SIM
